ID,POSITION,START_POSITION,THRU,TOTAL,TODAY,TOTAL_SCORE,ROUND1,ROUND2,ROUND3,ROUND4,TIME_UPDATED,TOURNAMENT,ENTRY,PRO,ODDS,RANK
3955,T59,7,F,8,0,288,70,74,74,70,14-AUG-11 07.01.38.008000000 PM,4,,206,,
3956,CUT,-,-,9,,149,76,73,,,14-AUG-11 07.01.41.819000000 PM,4,,901,,
3795,T26,13,F,1,2,281,68,72,69,72,14-AUG-11 07.01.35.704000000 PM,4,,3006,,101
3796,CUT,-,-,5,,145,72,73,,,14-AUG-11 07.01.39.037000000 PM,4,69,1408,,83
3797,T56,15,F,7,-3,287,75,69,76,67,14-AUG-11 07.01.37.870000000 PM,4,57,3049,,41
3798,CUT,-,-,15,,155,81,74,,,14-AUG-11 07.01.43.087000000 PM,4,68,3037,,97
3799,T45,15,F,5,-1,285,72,70,74,69,14-AUG-11 07.01.37.303000000 PM,4,67,3029,,103
3800,CUT,-,-,11,,151,74,77,,,14-AUG-11 07.01.42.444000000 PM,4,,124,,90
3801,T13,17,F,-1,-2,279,70,70,71,68,14-AUG-11 07.01.34.288000000 PM,4,52,2994,,37
3803,CUT,-,-,10,,150,73,77,,,14-AUG-11 07.01.42.308000000 PM,4,,2992,,116
3804,CUT,-,-,17,,157,85,72,,,14-AUG-11 07.01.43.418000000 PM,4,67,48,,40
3805,T37,6,F,3,0,283,68,74,71,70,14-AUG-11 07.01.36.138000000 PM,4,52,156,,31
3806,7,1,F,-4,-2,276,69,69,70,68,14-AUG-11 07.01.33.634000000 PM,4,60,2976,,9
3807,T1,-,17,-8,-1,203,70,65,68,,14-AUG-11 07.01.33.145000000 PM,4,65,3038,,80
3808,T69,2,F,12,2,292,75,69,76,72,14-AUG-11 07.01.38.391000000 PM,4,60,33,,46
3809,CUT,-,-,5,,145,72,73,,,14-AUG-11 07.01.38.946000000 PM,4,62,75,,88
3810,CUT,-,-,7,,147,69,78,,,14-AUG-11 07.01.39.660000000 PM,4,69,60,,85
3811,T45,15,F,5,-1,285,71,69,76,69,14-AUG-11 07.01.37.183000000 PM,4,50,47,,63
3812,CUT,-,-,7,,147,73,74,,,14-AUG-11 07.01.39.775000000 PM,4,59,1,,22
3813,T20,-,F,0,0,280,71,70,69,70,14-AUG-11 07.01.34.778000000 PM,4,49,12,,6
3814,CUT,-,-,10,,150,76,74,,,14-AUG-11 07.01.42.197000000 PM,4,63,2991,,68
3815,T4,4,F,-5,-3,275,72,71,65,67,14-AUG-11 07.01.33.576000000 PM,4,62,69,,19
3816,T64,2,F,11,3,291,71,71,76,73,14-AUG-11 07.01.38.256000000 PM,4,65,43,,44
3818,T8,5,F,-3,-2,277,70,71,68,68,14-AUG-11 07.01.33.800000000 PM,4,52,13,,1
3819,CUT,-,-,6,,146,73,73,,,14-AUG-11 07.01.39.531000000 PM,4,56,28,,26
3820,T13,-,F,-1,0,279,70,71,68,70,14-AUG-11 07.01.34.508000000 PM,4,67,3010,,10
3821,T1,2,F,-8,-2,272,71,64,69,68,14-AUG-11 07.01.33.117000000 PM,4,,3066,,108
3822,T20,10,F,0,-1,280,69,73,69,69,14-AUG-11 07.01.34.747000000 PM,4,,3024,,98
3823,T39,9,F,4,3,284,71,71,69,73,14-AUG-11 07.01.36.748000000 PM,4,,3067,,260
3824,T64,-,F,11,4,291,73,69,75,74,14-AUG-11 07.01.38.288000000 PM,4,53,39,,69
3825,T72,16,F,14,9,294,68,71,76,79,14-AUG-11 07.01.38.594000000 PM,4,64,79,,96
3826,T20,12,F,0,2,280,68,68,72,72,14-AUG-11 07.01.34.965000000 PM,4,54,174,,92
3827,CUT,-,-,7,,147,73,74,,,14-AUG-11 07.01.41.489000000 PM,4,,2997,,119
3829,CUT,-,-,6,,146,75,71,,,14-AUG-11 07.01.39.468000000 PM,4,49,3022,,67
3830,T39,2,F,4,2,284,74,68,70,72,14-AUG-11 07.01.36.550000000 PM,4,69,22,,17
3831,T26,11,F,1,-1,281,74,68,70,69,14-AUG-11 07.01.35.553000000 PM,4,54,23,,15
3832,CUT,-,-,13,,153,77,76,,,14-AUG-11 07.01.42.579000000 PM,4,64,266,,613
3834,T39,2,F,4,2,284,70,73,69,72,14-AUG-11 07.01.36.577000000 PM,4,56,3000,,14
3835,T39,26,F,4,5,284,71,65,73,75,14-AUG-11 07.01.36.776000000 PM,4,57,3087,,25
3836,CUT,-,-,11,,151,78,73,,,14-AUG-11 07.01.42.353000000 PM,4,,3084,,181
3837,CUT,-,-,5,,145,77,68,,,14-AUG-11 07.01.38.714000000 PM,4,67,61,,50
3839,T64,14,F,11,7,291,69,73,72,77,14-AUG-11 07.01.38.359000000 PM,4,60,30,,32
3840,T13,8,F,-1,3,279,63,74,69,73,14-AUG-11 07.01.34.722000000 PM,4,58,17,,5
3841,T62,12,F,10,6,290,70,70,74,76,14-AUG-11 07.01.38.118000000 PM,4,58,2984,,76
3842,T13,7,F,-1,-1,279,68,73,69,69,14-AUG-11 07.01.34.480000000 PM,4,59,2985,,43
3843,WD,-,-,,,,,,,,14-AUG-11 07.01.43.763000000 PM,4,67,3052,,66
3844,T26,17,F,1,-2,281,72,68,73,68,14-AUG-11 07.01.35.136000000 PM,4,61,2988,,86
3845,CUT,-,-,8,,148,76,72,,,14-AUG-11 07.01.41.504000000 PM,4,,423,,89
3846,CUT,-,-,9,,149,75,74,,,14-AUG-11 07.01.41.964000000 PM,4,61,3001,,52
3847,T26,11,F,1,-1,281,65,73,74,69,14-AUG-11 07.01.35.425000000 PM,4,,77,,166
3848,CUT,-,-,7,,147,74,73,,,14-AUG-11 07.01.39.732000000 PM,4,,3009,,173
3849,T34,14,F,2,2,282,70,72,68,72,14-AUG-11 07.01.36.034000000 PM,4,52,161,,71
3850,CUT,-,-,15,,155,74,81,,,14-AUG-11 07.01.43.055000000 PM,4,50,502,,84
3851,T45,25,F,5,5,285,68,69,73,75,14-AUG-11 07.01.37.476000000 PM,4,,143,,118
3852,T45,25,F,5,-4,285,70,73,76,66,14-AUG-11 07.01.36.996000000 PM,4,,1674,,94
3853,CUT,-,-,7,,147,71,76,,,14-AUG-11 07.01.39.838000000 PM,4,58,3015,,72
3854,T45,2,F,5,2,285,73,68,72,72,14-AUG-11 07.01.37.449000000 PM,4,52,54,,60
3855,T39,11,F,4,0,284,71,70,73,70,14-AUG-11 07.01.36.368000000 PM,4,,119,,100
3856,T34,9,F,2,-1,282,72,72,69,69,14-AUG-11 07.01.35.868000000 PM,4,60,3014,,77
3857,CUT,-,-,7,,147,73,74,,,14-AUG-11 07.01.39.679000000 PM,4,57,59,,75
3858,CUT,-,-,9,,149,79,70,,,14-AUG-11 07.01.41.834000000 PM,4,48,1266,,70
3859,3,3,F,-7,-4,273,68,69,70,66,14-AUG-11 07.01.33.422000000 PM,4,56,45,,45
3860,T74,18,F,15,10,295,73,69,73,80,14-AUG-11 07.01.38.686000000 PM,4,63,56,,54
3861,T51,14,F,6,4,286,71,69,72,74,14-AUG-11 07.01.37.816000000 PM,4,,3033,,180
3862,CUT,-,-,6,,146,74,72,,,14-AUG-11 07.01.39.378000000 PM,4,49,2,,27
3863,CUT,-,-,5,,145,74,71,,,14-AUG-11 07.01.39.191000000 PM,4,58,3057,,61
3864,T51,14,F,6,4,286,70,68,74,74,14-AUG-11 07.01.37.745000000 PM,4,53,2980,,107
3865,CUT,-,-,5,,145,72,73,,,14-AUG-11 07.01.39.003000000 PM,4,63,3002,,127
3866,CUT,-,-,8,,148,75,73,,,14-AUG-11 07.01.41.640000000 PM,4,48,3025,,65
3867,CUT,-,-,12,,152,75,77,,,14-AUG-11 07.01.42.548000000 PM,4,,3042,,159
3869,T74,1,F,15,4,295,66,78,77,74,14-AUG-11 07.01.38.657000000 PM,4,,3053,,316
